Longitude	Latitude	Name	Cruise	Year	Month	Day	Depth_m	Temperature_degreesC	Salinity_psu	Oxygen_mll	Hydrogen_Sulphide_umoll	Ammonium_Nitrogen_umoll
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	28.729286	6.04	7.1209	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	29.224583	6.0408	7.1212	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	29.71988	6.0396	7.1212	8.05		0.2
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	30.215174	6.0413	7.1213	8.05		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	30.710466	6.0427	7.1213	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	31.20576	6.0445	7.1213	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	31.70105	6.0444	7.1216	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	32.19634	6.0516	7.1217	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	32.691628	6.0525	7.1216	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	33.186916	6.0503	7.1215	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	33.6822	6.0533	7.1218	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	34.177486	6.0529	7.1215	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	34.67277	6.0497	7.1213	8.05		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	35.168053	6.0469	7.1214	8.05		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	35.663334	6.0455	7.1211	8.05		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	36.158615	6.0451	7.1211	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	36.653893	6.0433	7.121	8.05		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	37.14917	6.046	7.1215	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	37.644447	6.0555	7.1218	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	38.139725	6.0558	7.1218	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	38.635	6.0562	7.1217	8.02		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	39.130272	6.0553	7.1215	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	39.62554	6.0513	7.1216	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	40.12081	6.053	7.1216	8.05		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	40.61608	6.051	7.1215	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	41.11135	6.0606	7.1224	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	41.606617	6.0649	7.1222	8.03		
